name,price,date
"['Motel 6-Astoria, OR']",['US$85'],"7   2022-06-08
Name: date, dtype: datetime64[ns]"

"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",['US$241'],"7   2022-06-08
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$233'],"7   2022-06-08
Name: date, dtype: datetime64[ns]"

['Atomic Motel'],['US$79'],"7   2022-06-08
Name: date, dtype: datetime64[ns]"

['Columbia Inn'],['US$72'],"7   2022-06-08
Name: date, dtype: datetime64[ns]"

['Astoria Rivershore Motel'],['US$79'],"7   2022-06-08
Name: date, dtype: datetime64[ns]"

['Inn at the Sea'],['US$84'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$130'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Boardwalk Cottages'],['US$160'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$153'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$79'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$245'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$158'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Mermaid Inn'],['US$117'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Lighthouse Oceanfront Resort'],['US$179'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Life�s Beach�Inn'],['US$112'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$151'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Inn at Harbour Village'],['US$149'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$85'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Salt Hotel'],['US$120'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Col-Pacific Motel'],['US$139'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['At The Helm Hotel'],['US$286'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Astoria Riverwalk Inn'],['US$200'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

"['Motel 6-Astoria, OR']",['US$85'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",['US$246'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$216'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Atomic Motel'],['US$79'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Columbia Inn'],['US$72'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Astoria Rivershore Motel'],['US$79'],"8   2022-06-09
Name: date, dtype: datetime64[ns]"

['Inn at the Sea'],['US$139'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$179'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$109'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Boardwalk Cottages'],['US$242'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$255'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$185'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$370'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$179'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Historic Camp Hungry'],['US$118'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Inn at Harbour Village'],['US$149'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$102'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Col-Pacific Motel'],['US$149'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['At The Helm Hotel'],['US$332'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

"['Motel 6-Astoria, OR']",['US$95'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",['US$294'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$273'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Atomic Motel'],['US$169'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Columbia Inn'],['US$83'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Astoria Rivershore Motel'],['US$129'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Bowline Hotel'],['US$311'],"9   2022-06-10
Name: date, dtype: datetime64[ns]"

['Inn at the Sea'],['US$189'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$230'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$159'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$185'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$363'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$230'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Inn at Harbour Village'],['US$189'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$102'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Col-Pacific Motel'],['US$149'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['At The Helm Hotel'],['US$332'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",['US$317'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$295'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Atomic Motel'],['US$189'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Astoria Rivershore Motel'],['US$169'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Bowline Hotel'],['US$346'],"10   2022-06-11
Name: date, dtype: datetime64[ns]"

['Inn at the Sea'],['US$84'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$172'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Boardwalk Cottages'],['US$167'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$79'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$195'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$224'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$158'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Lighthouse Oceanfront Resort'],['US$179'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

